type,series,model,diagonal,screen type,country,price
Telephone,S-10,Samsung,none,QLED,none,200
Television,RTI-14,none,25,LED,China,1500.56
Telephone,6S,Apple,none,AMOLED,none,899.99
Television,FALCONE-1,none,32.5,LED,China,2000
Telephone,NOTE 9 PRO,Xiaomi,none,POLED,none,199.67
Telephone,A55,Samsung,none,QLED,none,450.5
Television,PIKO-1,none,25.5,TNT,Korea,1001
Television,CREO-2,none,18.9,AMOLED,USA,500.2
Television,RTI-20,none,45.4,IPS,USA,2500.99
Telephone,P-50,Huawei,none,IPS,none,1111.11











